BIDAR,BELLARY,BELGAUM,BANGALORE URBAN,BANGALORE RURAL,BAGALKOT,DAKSHIN KANNAD,CHITRADURG,CHIKKAMAGALURU,CHIKKABALLAPUR,CHAMARAJANAGAR,BIJAPUR,KALABURAGI,HAVERI,HASSAN,GADAG,DHARWAD,DAVANGERE,RAICHUR,MYSORE,MANDYA,KOPPAL,KOLAR,KODAGU,YADGIR,UTTAR KANNADA,UDUPI,TUMKUR,SHIMOGA,RAMANAGAR
3152794.75,5020873.25,8879650.25,82611372.25,3620399.5,5152285.5,12195646,3647436.75,5126298.75,3062026.25,2515893,4451082,4409006.25,3128612.25,5122773,2223920.25,5123388.5,4003909.75,3845978,7766404.25,5191697.75,2605194,3564655.75,1764196.5,2174309.75,3849379.25,5753998.75,8064715.75,6183351.5,3283221.75
3194426.167,4865109.833,8968055.833,83712722.5,3600234,5204659,12301755,3674712.167,5180626.167,3097042.167,2546070.667,4516817.667,4468276.833,3152043.833,5169583.333,2245635.5,5180303,4014345.167,3904841,7866791.167,5238404.167,2630252.333,3592841.833,1775964.667,2207990.167,3892339.833,5810546.5,8130682.833,6223173,3315452.167
3236057.583,4709346.417,9056461.417,84814072.75,3580068.5,5257032.5,12407864,3701987.583,5234953.583,3132058.083,2576248.333,4582553.333,4527547.417,3175475.417,5216393.667,2267350.75,5237217.5,4024780.583,3963704,7967178.083,5285110.583,2655310.667,3621027.917,1787732.833,2241670.583,3935300.417,5867094.25,8196649.917,6262994.5,3347682.583
3277689,4553583,9144867,85915423,3559903,5309406,12513973,3729263,5289281,3167074,2606426,4648289,4586818,3198907,5263204,2289066,5294132,4035216,4022567,8067565,5331817,2680369,3649214,1799501,2275351,3978261,5923642,8262617,6302816,3379913
3294213.333,4698059,9200119,86332116.25,3580067.25,5351072.667,12555731.75,3768979.75,5322458.583,3201999.083,2644044.333,4684136.25,4610309.417,3215504.25,5298530.583,2305749.25,5327744.833,4047920.833,4058402.167,8104141.75,5360101.917,2694151.667,3675736.25,1805845.833,2300361.833,4009917.25,5972400.25,8321946.833,6336150.583,3404430.5
3310737.667,4842535,9255371,86748809.5,3600231.5,5392739.333,12597490.5,3808696.5,5355636.167,3236924.167,2681662.667,4719983.5,4633800.833,3232101.5,5333857.167,2322432.5,5361357.667,4060625.667,4094237.333,8140718.5,5388386.833,2707934.333,3702258.5,1812190.667,2325372.667,4041573.5,6021158.5,8381276.667,6369485.167,3428948
3327262,4987011,9310623,87165502.75,3620395.75,5434406,12639249.25,3848413.25,5388813.75,3271849.25,2719281,4755830.75,4657292.25,3248698.75,5369183.75,2339115.75,5394970.5,4073330.5,4130072.5,8177295.25,5416671.75,2721717,3728780.75,1818535.5,2350383.5,4073229.75,6069916.75,8440606.5,6402819.75,3453465.5
3343786.333,5131487,9365875,87582196,3640560,5476072.667,12681008,3888130,5421991.333,3306774.333,2756899.333,4791678,4680783.667,3265296,5404510.333,2355799,5428583.333,4086035.333,4165907.667,8213872,5444956.667,2735499.667,3755303,1824880.333,2375394.333,4104886,6118675,8499936.333,6436154.333,3477983
3360310.667,5275963,9421127,87998889.25,3660724.25,5517739.333,12722766.75,3927846.75,5455168.917,3341699.417,2794517.667,4827525.25,4704275.083,3281893.25,5439836.917,2372482.25,5462196.167,4098740.167,4201742.833,8250448.75,5473241.583,2749282.333,3781825.25,1831225.167,2400405.167,4136542.25,6167433.25,8559266.167,6469488.917,3502500.5
3376835,5420439,9476379,88415582.5,3680888.5,5559406,12764525.5,3967563.5,5488346.5,3376624.5,2832136,4863372.5,4727766.5,3298490.5,5475163.5,2389165.5,5495809,4111445,4237578,8287025.5,5501526.5,2763065,3808347.5,1837570,2425416,4168198.5,6216191.5,8618596,6502823.5,3527018
3393359.333,5564915,9531631,88832275.75,3701052.75,5601072.667,12806284.25,4007280.25,5521524.083,3411549.583,2869754.333,4899219.75,4751257.917,3315087.75,5510490.083,2405848.75,5529421.833,4124149.833,4273413.167,8323602.25,5529811.417,2776847.667,3834869.75,1843914.833,2450426.833,4199854.75,6264949.75,8677925.833,6536158.083,3551535.5
3409883.667,5709391,9586883,89248969,3721217,5642739.333,12848043,4046997,5554701.667,3446474.667,2907372.667,4935067,4774749.333,3331685,5545816.667,2422532,5563034.667,4136854.667,4309248.333,8360179,5558096.333,2790630.333,3861392,1850259.667,2475437.667,4231511,6313708,8737255.667,6569492.667,3576053
3426408,5853867,9642135,89665662.25,3741381.25,5684406,12889801.75,4086713.75,5587879.25,3481399.75,2944991,4970914.25,4798240.75,3348282.25,5581143.25,2439215.25,5596647.5,4149559.5,4345083.5,8396755.75,5586381.25,2804413,3887914.25,1856604.5,2500448.5,4263167.25,6362466.25,8796585.5,6602827.25,3600570.5
3442932.333,5998343,9697387,90082355.5,3761545.5,5726072.667,12931560.5,4126430.5,5621056.833,3516324.833,2982609.333,5006761.5,4821732.167,3364879.5,5616469.833,2455898.5,5630260.333,4162264.333,4380918.667,8433332.5,5614666.167,2818195.667,3914436.5,1862949.333,2525459.333,4294823.5,6411224.5,8855915.333,6636161.833,3625088
3459456.667,6142819,9752639,90499048.75,3781709.75,5767739.333,12973319.25,4166147.25,5654234.417,3551249.917,3020227.667,5042608.75,4845223.583,3381476.75,5651796.417,2472581.75,5663873.167,4174969.167,4416753.833,8469909.25,5642951.083,2831978.333,3940958.75,1869294.167,2550470.167,4326479.75,6459982.75,8915245.167,6669496.417,3649605.5
